source,target,value
Mod_lua/Serving_Configuration,Mod_lua,1
Mod_lua/Serving_Configuration,Dialplan,1
Languages_for_Call_Control,Mod_perl,1
Languages_for_Call_Control,Mod_mono,1
Languages_for_Call_Control,Mod_lua,1
Languages_for_Call_Control,ODBC,1
Languages_for_Call_Control,Javascript,1
Languages_for_Call_Control,Teletone,1
Languages_for_Call_Control,Misc_Javascript_functions,1
Languages_for_Call_Control,Mod_php,1
Languages_for_Call_Control,DB,1
Languages_for_Call_Control,Mod_ruby,1
Languages_for_Call_Control,Mod_python,1
Languages_for_Call_Control,Mod_java,1
OpenZap,OpenZAP,1
OpenZap,Openzap.sangoma.libpri,1
OpenZap,Zaptel_Tutorial,1
OpenZap,Zapata_zaptel_interface,1
OpenZap,Configuration_OpenZAP-_DigiumTDM400P_Example,1
OpenZap,OpenZAP_OpenR2,1
OpenZap,FreeTDM,1
OpenZap,Openzap.conf.xml_Examples,1
OpenZap,Openzap.conf_Examples,1
OpenZap,Packet_Capture,1
OpenZap,Tones.conf_Example,1
OpenZap,OpenZAP_Rhino,1
OpenZap,Openzap.conf.xml_Examples,1
Mod_xml_rpc,Mod_commands,1
Mod_xml_rpc,Freeswitch_XML-RPC,1
Git_Install,Git_Tips,1
Git_Install,Documentation/Developer_Documentation,1
Playing_recording_external_media,Build_mod_shout,1
Playing_recording_external_media,Mod_python,1
FileIO,Javascript_FileIO_write,1
FileIO,Javascript_FileIO_read,1
FileIO,Javascript_FileIO_path,1
FileIO,Javascript_FileIO_data,1
Phrase_API,Javascript_Session_SayPhrase,1
Git_Tips,Git_Install,1
Git_Tips,Documentation/Developer_Documentation,1
Packet_Capture,Jitterbuffer,1
Packet_Capture,Wireshark_howto,1
Packet_Capture,RTP_Issues,1
Configuration_OpenZAP-_DigiumTDM400P_Example,Openzap.conf.xml_Examples,1
Webapi,Mod_voicemail,1
Webapi,Mod_shout,1
Webapi,Webapi,1
Webapi,Mod_xml_rpc,1
XML_Switch_Configuration,Default_Configuration,1
Park_&_Retrieve,Misc._Dialplan_Tools_valet_park,1
Park_&_Retrieve,Mod_fifo,1
Javascript_FileIO_path,Javascript,1
Configuration_OpenZap-DigiumTE220-Example,OpenZAP,1
Configuration_OpenZap-DigiumTE220-Example,OpenZAP,1
Rosetta_Stone,Mod_console,1
Rosetta_Stone,Mod_syslog,1
Rosetta_Stone,Misc._Dialplan_Tools_hangup,1
Rosetta_Stone,Misc._Dialplan_Tools_sleep,1
Rosetta_Stone,Ivrd,1
Rosetta_Stone,Converting_Asterisk_to_FreeSWITCH,1
Rosetta_Stone,Misc._Dialplan_Tools_start_dtmf,1
Rosetta_Stone,Misc._Dialplan_Tools_log,1
Rosetta_Stone,Mod_db,1
Rosetta_Stone,Misc._Dialplan_Tools_read,1
Rosetta_Stone,Misc._Dialplan_Tools_transfer,1
Rosetta_Stone,Mod_portaudio,1
Rosetta_Stone,Misc._Dialplan_Tools_eavesdrop,1
Rosetta_Stone,Misc._Dialplan_Tools_echo,1
Rosetta_Stone,Mod_sofia,1
Rosetta_Stone,Mod_fifo,1
Rosetta_Stone,Channel_Variables,1
